attrib1,attrib2,attrib3,y
7.308782,4.100808,2.077148,-1
6.588672,7.107396,1.527362,-1
9.398654,9.471949,9.370821,-1
9.139629,1.593396,3.690026,-1
1.159671,7.705359,6.598927,-1
7.616747,6.239725,8.79263,-1
8.052278,0.050252,5.231352,-1
7.0501,2.750299,0.753878,-1
5.771003,2.049135,6.233638,-1
0.012986,6.835265,4.862596,1
5.403971,9.73834,2.454266,-1
8.456557,4.065408,9.498398,-1
8.899088,0.383269,5.923792,-1
2.28802,9.918821,5.862484,-1
2.067375,3.746495,4.633498,1
2.907322,0.514484,1.835402,1
6.304049,9.09584,5.076599,-1
1.166703,1.368305,5.460894,1
9.624146,2.094927,1.726488,-1
8.011571,1.098411,5.187869,-1
6.990066,2.046356,2.549095,-1
1.743711,6.995916,9.289719,-1
8.363149,1.631035,6.374974,-1
6.54426,3.728733,9.105662,-1
7.070442,7.233716,5.094929,-1
1.396138,5.965788,9.472602,-1
1.236712,6.169514,4.818624,-1
0.634492,5.908698,2.840092,1
0.73026,0.740479,6.799354,1
3.533392,1.54975,3.667713,1
5.986325,2.920934,8.764427,-1
5.397619,6.418367,9.706215,-1
7.298239,8.867444,0.437027,-1
3.386553,2.991263,0.842521,1
7.638205,4.277001,9.991834,-1
6.304712,5.528079,5.434191,-1
9.072812,2.464856,2.484888,-1
8.540498,7.777117,2.164067,-1
0.244721,4.510085,3.691343,1
1.310681,0.420465,8.242939,1
7.433696,9.291026,5.898935,-1
0.083517,5.46374,8.3552,1
8.805987,6.304014,9.288937,-1
2.559627,2.413356,4.242532,1
3.786229,7.866092,7.127522,-1
7.975631,5.270359,4.176354,-1
6.670734,4.26443,4.005572,-1
5.47224,0.754076,6.511447,1
5.127188,4.786759,1.311688,-1
4.496849,2.678979,9.478478,-1
7.779503,2.881007,7.813547,-1
9.657951,7.803253,3.170249,-1
1.302219,2.344741,6.560824,1
9.002531,0.358949,3.764263,-1
7.237512,7.76991,2.422761,-1
5.690816,4.540692,4.697351,-1
6.379469,3.033671,0.65397,-1
3.35069,5.793622,5.213967,-1
3.719405,8.57127,8.070764,-1
0.993213,6.798073,4.161747,-1
0.743614,6.091411,1.786624,1
1.53548,9.303414,4.595106,-1
6.912259,3.490107,2.281355,-1
3.37935,8.337982,3.882611,-1
3.489814,0.530935,6.061902,1
6.615556,8.852841,1.891668,-1
6.864306,2.245739,4.445994,-1
1.05936,9.834627,6.010314,-1
8.157702,1.555786,4.534042,-1
8.912894,1.561529,7.46197,-1
6.961129,0.948774,9.588081,-1
6.775948,4.54075,2.74585,-1
4.699536,8.196824,9.690972,-1
8.717937,0.517525,7.261926,-1
1.003754,8.189424,7.478598,-1
2.264571,4.613744,9.307335,1
9.451021,0.275739,7.469232,-1
5.005414,0.965814,1.443545,1
8.187796,2.148099,8.337721,-1
8.264131,2.981654,1.588645,-1
4.613827,1.196398,5.105833,1
5.670332,3.709959,9.341456,-1
8.822352,8.799772,0.604599,-1
8.070986,6.609952,2.855528,-1
2.92982,8.855047,5.443436,-1
9.857787,9.458035,9.471917,-1
2.49285,7.966813,7.079271,-1
7.181458,9.030189,4.251469,-1
9.611818,2.381135,4.531882,-1
5.499313,4.547299,7.26118,-1
8.643764,7.989182,3.497806,-1
3.307224,5.052657,1.645982,-1
6.696159,5.177064,5.543976,-1
5.192355,2.020534,3.459391,-1
4.783721,8.7529,4.124413,-1
5.218259,4.341976,3.102073,-1
8.519218,0.491339,8.898259,-1
7.171533,8.270075,3.842125,-1
7.714687,3.593386,6.031253,-1
3.057186,4.715445,3.461688,-1
6.432766,0.678005,6.027195,-1
0.017997,2.62587,3.207672,1
9.344963,1.733911,1.655577,-1
9.408617,0.951421,4.085747,-1
5.819829,4.477218,4.135089,-1
5.727322,8.398314,9.791671,-1
7.217687,7.214348,5.210938,-1
9.272796,1.984864,0.320629,-1
5.330505,2.677349,7.464355,-1
5.191867,9.395373,7.082503,-1
5.296247,7.213565,5.289676,-1
7.803626,3.629299,7.821059,-1
2.621709,3.937108,9.658499,1
8.528791,6.060784,9.265922,-1
7.688144,0.990763,4.201452,-1
9.189948,6.502347,2.309402,-1
0.070502,2.374182,3.620937,1
4.072297,2.713869,0.884104,1
4.720549,0.806527,5.389939,1
5.19234,9.342862,8.906264,-1
9.47068,2.751386,3.385149,-1
9.414138,9.343245,6.085006,-1
0.43435,2.791237,7.76811,1
1.746108,7.182659,4.88372,-1
4.868692,9.167131,4.716735,-1
4.379751,2.791973,4.478554,-1
4.437553,0.183963,9.592077,1
0.69873,6.259561,8.970781,1
4.91836,8.508216,1.963712,-1
4.122108,7.589487,9.11664,-1
0.92116,4.264645,2.102845,1
7.504615,3.609558,6.425044,-1
9.62371,0.441888,1.778613,-1
4.048724,3.098979,3.577495,-1
8.22739,1.960664,2.622378,-1
5.733335,8.026511,9.562711,-1
4.503831,4.272329,5.193948,-1
1.610311,2.864314,4.259272,1
3.876403,0.059132,9.081138,1
4.084901,0.6941,0.742979,1
8.179828,7.894103,7.799713,-1
1.206993,3.208528,6.563313,1
0.577399,7.450253,9.534119,-1
9.616202,2.036315,8.707561,-1
6.497515,1.640619,9.824722,-1
1.838411,0.25054,9.059668,1
7.11561,1.335661,5.51488,-1
2.779473,6.053286,9.30096,-1
8.624759,6.816817,9.358385,-1
5.459671,8.905862,3.454229,-1
5.729698,5.048158,1.975025,-1
1.213099,3.055911,9.904944,1
3.382783,4.85843,0.080501,-1
1.221897,0.30244,4.290805,1
1.754414,2.454007,6.921118,1
2.90764,5.826525,0.218149,-1
9.387915,3.580378,1.227049,-1
4.383982,8.899631,5.988473,-1
6.949891,1.972785,4.022355,-1
8.139868,5.9486,4.449194,-1
1.615279,5.037971,0.361592,1
2.284491,0.816005,4.79445,1
0.589346,6.398477,2.719231,1
8.512624,5.594652,5.563348,-1
2.687877,8.769148,6.315652,-1
5.556733,6.16284,4.379,-1
0.517353,9.00348,4.483478,-1
0.490176,3.260421,7.266446,1
6.701884,1.225382,9.59658,-1
4.046944,1.101715,9.558826,1
3.976526,2.137671,5.599131,1
7.252815,8.700983,5.107128,-1
0.598556,9.113114,4.04634,-1
0.539961,7.796685,7.54997,-1
6.9551,8.699604,6.358671,-1
3.629822,5.170598,2.954908,-1
6.080709,1.205546,6.696104,-1
4.387277,0.158471,8.355283,1
3.52414,5.676982,2.07071,-1
3.769585,4.596191,3.536261,-1
8.661702,0.463863,1.94542,-1
3.041234,0.36764,9.613468,1
8.472319,0.36824,1.399185,-1
4.376139,0.721735,2.396647,1
8.66045,9.513828,2.465355,-1
4.992285,0.547669,9.29889,1
8.338354,6.064538,3.909773,-1
9.433202,4.838526,9.159944,-1
7.569156,6.613193,7.865628,-1
8.943625,7.912334,5.97972,-1
6.485221,3.768748,8.367436,-1
6.843921,0.34901,1.178401,-1
7.191904,3.141502,5.178348,-1
3.59237,2.354357,8.426406,1
6.423705,8.050697,1.358334,-1
7.175055,4.078172,5.350165,-1
4.971413,4.738963,3.816197,-1
1.066383,7.236359,7.816314,-1
6.411962,8.200584,7.717537,-1
8.38971,0.518596,9.115529,-1
7.896378,6.876682,4.800232,-1
6.931556,6.397728,8.801088,-1
5.137799,4.478211,8.517181,-1
4.108494,7.739306,1.359003,-1
6.939783,7.686637,6.880133,-1
6.370821,9.752328,3.581717,-1
8.704947,4.216531,2.9632,-1
2.424145,1.764081,5.417378,1
0.965196,0.11519,4.564616,1
1.371788,2.816156,2.757302,1
9.336482,3.794572,9.386233,-1
5.822284,7.185694,6.743483,-1
2.017629,6.156256,8.137609,-1
7.867003,0.909099,1.055618,-1
5.288912,1.736651,9.986348,-1
3.387479,1.575633,6.463965,1
5.671451,5.305833,8.271081,-1
6.165394,0.302342,6.688943,1
4.019488,1.330054,9.463255,1
4.599765,6.9154,3.40405,-1
0.141887,0.163454,6.891293,1
7.705274,7.258281,2.673431,-1
9.215758,0.808993,9.963642,-1
9.896272,3.450235,2.783043,-1
4.899609,4.962172,7.263757,-1
7.251848,2.602034,3.26416,-1
9.897893,7.174386,2.704109,-1
9.373482,6.777485,1.205584,-1
3.999244,8.879425,4.803913,-1
1.852742,7.385703,1.044509,-1
2.427196,9.67131,9.449425,-1
4.969632,2.952259,8.623217,-1
5.90051,9.377916,2.585037,-1
6.94474,2.41518,1.114919,-1
5.35351,8.611959,6.977766,-1
7.969183,5.338309,7.300281,-1
1.602069,1.128592,2.810301,1
0.358288,6.304748,0.293439,1
2.033814,9.113702,2.452429,-1
7.331289,0.862226,1.512968,-1
7.018792,0.825668,5.269221,-1
7.072128,8.551248,6.90343,-1
6.746737,1.139923,2.91691,-1
2.124703,8.347333,5.609624,-1
6.027415,5.434053,2.855606,-1
0.500742,3.465028,2.311011,1
9.474309,2.425338,4.079908,-1
5.059161,2.407573,0.377036,-1
4.016684,2.098839,1.149068,1
0.018198,0.090868,9.208506,1
0.953138,9.095476,1.27002,-1
2.888429,8.76207,1.448034,-1
1.358067,8.549705,6.638332,-1
3.093349,2.274056,5.136233,1
9.311125,6.429106,3.496705,-1
2.316986,0.172774,9.150788,1
4.432597,7.774085,5.893949,-1
3.686451,1.3938,7.903412,1
9.370417,4.858107,2.503412,-1
8.308648,1.989111,6.983706,-1
2.897865,4.904288,4.601309,-1
4.883668,3.961201,3.513045,-1
5.248911,1.266232,5.558066,1
1.552952,6.577202,8.389813,-1
4.164871,5.526753,1.281489,-1
2.664369,4.068673,6.6128,1
1.436237,4.469507,9.481786,1
6.81924,1.882914,6.132517,-1
4.704182,6.306396,0.415634,-1
2.34158,0.73234,9.17513,1
0.229699,4.688618,5.523868,1
7.388169,9.787592,0.116154,-1
7.160506,2.224345,4.925304,-1
8.816811,6.482772,9.439817,-1
7.933688,7.328302,9.57341,-1
8.408817,9.616305,2.568775,-1
8.388703,1.620848,9.142119,-1
4.169065,2.470288,0.609491,1
5.163849,0.649861,9.748235,1
4.443226,4.598015,1.074192,-1
6.715653,5.353147,2.839613,-1
0.170115,8.040599,6.445522,-1
0.035024,8.368748,6.481161,-1
1.529532,8.79641,1.811987,-1
3.983288,9.925647,1.131681,-1
1.59397,7.730202,8.934238,-1
6.998353,1.956609,7.162348,-1
9.563927,7.163775,6.688378,-1
5.459083,4.600678,7.317246,-1
7.271203,4.29778,5.341226,-1
9.145614,2.821939,4.493185,-1
6.758456,6.147005,7.811695,-1
6.450946,7.895042,8.540612,-1
6.92595,3.460811,8.098282,-1
1.404173,2.65011,1.7296,1
9.307747,9.516653,2.321608,-1
0.591832,1.121768,1.630734,1
1.215682,0.002309,9.520414,1
5.158894,6.285064,8.677069,-1
8.468523,7.713032,6.102834,-1
0.142653,2.828107,7.08858,1
1.956329,8.751454,3.870407,-1
8.38187,7.63352,4.851052,-1
6.140389,6.517456,9.927218,-1
1.395638,3.158581,8.036912,1
7.236276,0.367987,4.910407,-1
6.719422,6.388686,3.808948,-1
3.197723,5.865287,9.441949,-1
8.158919,6.853497,2.376693,-1
8.574609,5.961563,7.032449,-1
0.539857,4.843744,8.935485,1
1.567243,4.317808,6.869177,1
7.399774,6.265039,6.473614,-1
2.127618,6.285332,0.164948,-1
6.514973,6.853983,2.534075,-1
8.024313,2.393085,7.860002,-1
4.170736,5.389937,7.709903,-1
4.452896,7.833356,1.826095,-1
3.692191,8.987264,9.02218,-1
1.387425,5.506691,9.554231,1
7.910302,4.403624,8.182811,-1
2.855753,6.763102,6.447402,-1
7.479935,0.171322,9.397951,-1
4.062529,7.669915,3.280389,-1
0.787746,3.928289,8.932463,1
6.815507,1.620144,1.025048,-1
7.75289,5.517648,8.45586,-1
7.40848,1.908192,7.576369,-1
6.857754,4.637673,1.277676,-1
7.460431,1.668973,4.470284,-1
2.091103,1.508509,1.967202,1
9.187337,5.26193,9.25118,-1
1.032147,1.624887,1.287143,1
7.164547,0.881813,4.014103,-1
2.671337,9.128101,7.162092,-1
1.297697,1.475499,4.318133,1
1.108683,3.034792,3.991814,1
7.805557,9.800815,7.56034,-1
6.673278,3.771518,3.276937,-1
0.278477,5.421323,8.92848,1
7.885088,8.057148,3.748311,-1
9.373269,2.405665,3.953929,-1
9.358438,2.565643,7.057738,-1
9.771413,0.892134,7.384921,-1
5.513481,2.727166,6.007082,-1
6.867916,1.470376,0.309422,-1
5.805941,1.992417,1.296446,-1
8.643146,9.666447,9.223208,-1
1.217974,0.791307,7.655988,1
2.787527,9.704948,4.495106,-1
9.19573,9.044196,8.554908,-1
6.036526,0.344996,6.86761,1
4.027314,6.84205,8.852113,-1
1.076574,1.119101,2.849911,1
8.533544,4.408714,0.997631,-1
2.833335,2.097789,5.986477,1
1.704342,6.148439,8.792409,-1
0.891658,5.729055,5.577267,1
7.799764,4.94207,4.978157,-1
0.298875,1.474735,1.235401,1
3.242999,9.22086,2.896887,-1
0.725093,4.011179,0.959473,1
8.130862,7.72525,2.940666,-1
0.817946,1.233661,4.259137,1
7.528642,3.728769,5.294581,-1
4.698658,5.788497,1.608914,-1
9.231628,8.815025,8.013543,-1
2.241004,3.73756,9.655009,1
2.614053,4.487822,0.939369,-1
8.676003,1.761825,2.053422,-1
0.6611,5.114266,9.058956,1
8.401499,8.971761,8.948971,-1
1.866471,6.865597,7.985792,-1
8.315494,7.254406,3.77079,-1
5.796584,8.039319,7.044435,-1
0.64722,8.32853,5.713884,-1
4.523149,6.109252,6.78846,-1
9.461696,4.35918,6.664001,-1
4.488345,7.511174,1.530541,-1
2.900329,0.792495,4.824366,1
7.206518,6.228989,4.835968,-1
2.112957,5.336465,1.32041,-1
5.971334,5.619823,8.402852,-1
9.816779,2.419969,0.894352,-1
7.165641,6.602065,1.593197,-1
7.458215,1.426094,4.234401,-1
3.267231,1.703064,4.265658,1
0.393861,3.517254,0.426235,1
6.617667,2.285714,7.325224,-1
6.595446,4.174795,4.597661,-1
8.826557,6.856501,7.176378,-1
9.056363,9.759584,6.702165,-1
3.969767,8.005258,0.951342,-1
4.068141,2.743481,0.971355,1
8.731544,2.583898,8.620287,-1
1.362646,3.819554,8.400308,1
2.035422,4.245743,3.486926,1
7.419588,9.600478,4.941104,-1
7.579883,8.658271,4.259578,-1
0.380967,6.651444,2.097108,-1
4.964609,3.12063,2.051207,-1
9.79607,7.519787,6.103655,-1
6.839804,1.764803,5.46303,-1
3.206534,2.259268,4.839821,1
5.550013,8.486947,0.34602,-1
9.051642,4.226028,3.921929,-1
7.619594,3.326435,4.825137,-1
0.577663,5.008963,7.80495,1
8.133834,8.859101,2.25876,-1
7.734926,3.541521,1.184955,-1
1.509712,0.479845,4.677812,1
9.005441,3.869902,2.504026,-1
1.524248,8.248454,7.345335,-1
1.282109,7.02127,6.187219,-1
5.481892,3.600596,1.313786,-1
6.99961,6.522537,1.209161,-1
2.357697,2.296599,8.657773,1
0.303626,1.177706,5.057751,1
4.284636,1.417093,0.57742,1
9.941866,7.276157,7.240829,-1
5.152365,8.619464,2.167033,-1
9.232028,8.211724,6.776502,-1
4.844665,6.668164,4.403398,-1
1.858078,4.025529,4.827462,1
8.047731,7.748507,2.083952,-1
1.086381,3.236448,4.761437,1
5.824192,1.731751,7.533002,-1
4.048404,9.953767,3.592251,-1
6.791885,6.52415,1.108315,-1
3.588926,6.205733,5.035283,-1
3.618254,1.68428,9.21648,1
7.368135,7.870799,7.872415,-1
7.018007,9.314283,9.164721,-1
8.321173,9.88478,0.02083,-1
6.097261,8.062596,4.392219,-1
6.375182,7.565894,4.399303,-1
1.0586,4.514581,7.859971,1
3.601409,6.313203,3.196573,-1
2.668806,8.132154,1.261591,-1
3.879033,6.54597,4.0769,-1
9.513817,7.923928,1.78451,-1
5.969724,8.243264,5.992626,-1
4.579632,3.874886,8.963822,-1
5.29126,0.320094,0.248256,1
5.270611,9.732466,7.16328,-1
0.839915,1.262991,8.336125,1
1.602374,1.074561,7.278077,1
5.08324,1.859177,9.834465,1
3.633045,4.935562,5.24112,-1
2.373538,8.854766,5.675704,-1
9.619783,9.892386,4.989001,-1
6.440688,8.987161,7.813176,-1
3.360458,5.386804,3.385251,-1
6.897131,0.957589,1.729434,-1
0.368004,4.005393,0.264806,1
8.548431,9.818029,4.761183,-1
0.627495,5.788432,4.141923,1
5.260349,6.002191,9.807251,-1
7.435139,9.758093,3.59993,-1
9.868052,7.607907,1.549986,-1
8.845162,1.518392,8.554129,-1
3.055135,3.522905,9.648243,1
7.205624,0.605917,5.522442,-1
6.15465,8.803051,2.029778,-1
8.760858,7.108272,8.809375,-1
5.312595,5.812873,8.170182,-1
5.937489,5.377704,9.283523,-1
7.009984,8.986207,0.785209,-1
3.852133,4.68345,9.836561,-1
4.487307,1.517588,4.331629,1
3.669642,3.243557,5.525111,1
7.544263,6.80286,8.258432,-1
8.526968,8.991995,4.623509,-1
8.644286,5.237671,2.028351,-1
6.760036,9.651815,6.823472,-1
2.61824,2.826402,4.01792,1
0.544653,2.487445,2.814738,1
5.79157,6.160471,3.251466,-1
6.101709,8.521722,5.861149,-1
0.405177,9.331888,2.355828,-1
3.096457,0.966305,2.324792,1
1.354909,6.330764,2.884545,-1
0.469933,8.492307,0.586246,-1
2.236611,4.820413,4.216367,-1
6.573821,8.636546,4.236334,-1
8.567563,8.616362,8.864357,-1
0.006214,8.597447,2.343941,-1
4.308231,9.192439,9.530608,-1
9.861862,5.319844,8.833919,-1
6.838773,3.781469,7.922308,-1
4.998932,9.145308,0.846766,-1
8.598054,8.124708,3.04106,-1
7.404547,7.347953,6.161952,-1
5.353842,0.749537,9.801852,1
9.299636,1.329249,0.692685,-1
9.907522,8.471405,0.667601,-1
1.890692,5.15113,5.615822,-1
8.725468,9.362357,7.346113,-1
5.811156,7.907596,3.617098,-1
0.240077,6.48949,8.264054,1
5.521408,2.571672,2.624303,-1
7.53221,8.310947,7.898097,-1
6.359964,2.600868,4.919271,-1
2.587839,2.077982,8.454756,1
1.972916,6.554564,5.023404,-1
9.211876,4.858284,3.375444,-1
8.250773,7.325233,0.646547,-1
2.755557,0.812272,7.179529,1
9.615852,7.525146,0.040256,-1
7.784838,7.269277,3.588757,-1
1.194965,0.387227,8.731251,1
9.106263,0.732222,0.013935,-1
6.763794,4.884402,4.40215,-1
4.118428,5.12887,4.876857,-1
7.873743,0.902711,4.90413,-1
7.402802,8.085268,9.51366,-1
5.889473,3.528465,3.681345,-1
0.355796,8.927645,5.037366,-1
8.878171,2.287152,5.872237,-1
7.425381,9.605305,1.345286,-1
4.274912,3.991644,3.020039,-1
2.262093,5.232341,5.534113,-1
3.366573,2.227798,3.934475,1
3.292825,3.590773,6.242174,1
8.578741,4.051731,4.51033,-1
4.722173,1.586863,3.855017,1
3.669033,6.343126,0.369881,-1
3.773455,6.790906,1.639109,-1
4.655747,4.721369,8.107838,-1
7.68581,0.00155,7.059967,-1
8.891401,5.231775,8.995786,-1
8.053408,3.770992,5.81185,-1
7.714818,0.247444,3.630779,-1
0.320969,5.822833,2.476549,1
5.938742,9.001501,6.14791,-1
6.99227,3.453049,5.44074,-1
1.83504,4.788154,3.453072,1
8.918883,1.113364,2.244243,-1
8.370511,3.056655,1.843574,-1
7.738712,8.458538,6.537649,-1
8.977771,8.039647,5.473655,-1
1.706436,6.939773,5.141177,-1
4.165847,4.037357,7.382539,-1
8.44629,4.849373,7.773134,-1
2.155695,6.414741,7.086692,-1
9.76509,5.530515,5.611332,-1
3.334742,4.690483,3.416446,-1
9.809805,7.101077,3.410028,-1
3.287683,4.077862,5.659328,-1
4.928598,1.842629,5.997764,1
8.845813,2.176346,6.344893,-1
6.167131,8.46973,1.628462,-1
5.638893,0.824242,3.634612,1
1.12505,0.220396,2.126241,1
8.509072,1.158724,9.510311,-1
3.255618,4.248374,9.197378,-1
2.495907,8.537685,5.225362,-1
7.027163,8.441163,4.114706,-1
8.176312,2.991588,4.269898,-1
4.495246,2.258563,8.734173,1
